different,1464,1050
such,1170,976
other,965,694
same,1100,673
large,602,484
gradient,753,401
random,665,400
new,543,385
deep,1278,371
similar,558,348
original,443,324
optimal,250,319
due,276,305
various,242,299
average,347,284
single,549,284
local,378,277
high,299,268
small,441,264
additional,285,262
previous,436,252
present,271,241
second,396,230
main,210,230
generative,463,225
adversarial,586,221
initial,253,219
many,452,212
natural,322,198
general,248,196
simple,456,191
larger,237,191
robust,140,190
several,319,176
full,246,175
current,318,171
computational,204,169
possible,360,168
effective,138,165
last,276,164
positive,173,162
key,151,161
empirical,147,160
much,344,158
continuous,209,158
constant,141,158
least,123,153
metric,122,150
true,189,149
semantic,190,147
important,264,146
temporal,143,146
conditional,157,145
real,213,144
negative,187,143
common,186,142
recent,234,141
available,195,137
next,327,137
smaller,168,132
Deep,412,130
low,184,128
strong,116,126
able,356,125
overall,115,124
experimental,121,121
correct,184,117
independent,169,116
good,290,116
dynamic,143,112
discrete,156,109
top,237,109
certain,118,109
approximate,195,107
particular,,132,102
binary,282,102
few,186,95
