,Noun,Adj,Freq
0,intuitive,physics,7
1,strong,robust,60
2,strong,prior,3
3,strong,order,2
4,strong,players,1
5,key,bit,3
6,first,layer,11
7,first,release,5
8,first,row,4
9,first,order,4
10,first,person,3
11,first,number,2
12,first,neighbors,2
13,first,layers,2
14,first,segment,2
15,first,week,2
16,first,column,1
17,first,rows,1
18,first,half,1
19,first,pass,1
20,first,a,1
21,first,element,1
22,first,coordinates,1
23,top,row,31
24,top,layer,25
25,top,elements,10
26,top,half,10
27,top,rows,7
28,top,down,7
29,top,neighbors,7
30,top,right,4
31,top,part,2
32,top,left,2
33,top,line,2
34,top,ones,2
35,top,points,1
36,top,text,1
37,detailed,hyper,1
38,detailed,e,1
39,interesting,blues,1
40,essential,hypertension,11
41,deeper,models,30
42,deeper,networks,29
43,deeper,layers,15
44,deeper,model,8
45,deeper,architectures,6
46,deeper,network,5
47,deeper,architecture,3
48,deeper,ones,2
49,novel,pseudo,1
50,efficient,invariance,1
51,effective,servo,12
52,international,conference,158
53,international,workshop,15
54,international,journal,8
55,fundamental,frequency,4
56,fundamental,offs,1
57,fundamental,operator,1
58,rich,els,2
59,rich,tagging,2
60,rich,regression,2
61,relevant,memories,19
62,relevant,parameters,3
63,diverse,phyla,1
64,unique,minimum,1
65,unique,tokens,1
66,unique,pairs,1
67,ideal,attack,1
68,immediate,step,1
69,immediate,regret,1
70,successful,attacks,12
71,sophisticated,walk,3
72,largest,eigenvalue,6
73,largest,prototype,2
74,largest,feedback,2
75,largest,repositories,1
76,largest,subset,1
77,largest,letters,1
78,accessible,training,1
79,accessible,genome,1
80,ready,expressions,1
81,ready,data,1
82,senior,fellow,1
