Adj,N,Freq
substantial,improvements,18
substantial,improvement,15
substantial,interest,6
substantial,progress,6
substantial,loss,6
substantial,cost,6
substantial,changes,5
substantial,amount,4
substantial,time,3
substantial,reduction,3
substantial,effect,3
substantial,study,3
substantial,change,3
substantial,work,3
substantial,number,3
substantial,portion,3
substantial,knowledge,3
substantial,gains,3
substantial,analysis,2
substantial,savings,2
substantial,decrease,2
substantial,degradation,2
substantial,drop,2
substantial,effort,2
substantial,utility,2
substantial,impact,2
substantial,part,2
substantial,compression,2
substantial,advantage,2
substantial,drops,2
substantial,margin,2
substantial,difference,2
substantial,variability,2
substantial,use,2
substantial,consequences,2
substantial,noise,1
substantial,speedup,1
substantial,something,1
substantial,increase,1
substantial,gradient,1
substantial,advancements,1
substantial,distinction,1
substantial,contributor,1
substantial,head,1
substantial,privilege,1
substantial,variation,1
substantial,literature,1
substantial,up,1
substantial,horizon,1
substantial,overlap,1
substantial,limitations,1
substantial,reductions,1
substantial,bottleneck,1
substantial,tuning,1
substantial,ability,1
substantial,amounts,1
substantial,discussion,1
substantial,saving,1
substantial,differences,1
substantial,investigates,1
substantial,lag,1
substantial,degree,1
substantial,gain,1
substantial,robustness,1
substantial,boost,1
substantial,evidence,1
substantial,gap,1
substantial,history,1
substantial,challenge,1
substantial,step,1
substantial,resources,1
substantial,size,1
substantial,level,1
substantial,smoothing,1
extensive,experiments,53
extensive,search,21
extensive,study,17
extensive,evaluation,16
extensive,results,12
extensive,tuning,10
extensive,research,9
extensive,use,9
extensive,set,9
extensive,studies,6
extensive,analysis,6
extensive,exploration,6
extensive,work,6
extensive,validation,5
extensive,comparison,5
extensive,knowledge,5
extensive,literature,5
extensive,investigation,5
extensive,evaluations,5
extensive,structure,4
extensive,experimentation,4
extensive,description,3
extensive,comparisons,3
extensive,body,3
extensive,effort,3
extensive,simulations,3
extensive,form,3
extensive,evidence,3
extensive,pool,2
extensive,amounts,2
extensive,works,2
extensive,discussions,2
extensive,distribution,2
extensive,amount,2
extensive,engineering,2
extensive,parameters,2
extensive,selection,2
extensive,game,2
extensive,intervention,2
extensive,input,2
extensive,searches,2
extensive,testing,1
extensive,model,1
extensive,framework,1
extensive,architecture,1
