,Adj,N,Freq
0,largest,eigenvalue,20
1,largest,entry,19
2,largest,size,17
3,largest,values,16
4,largest,eigenvalues,12
5,largest,component,11
6,largest,element,9
7,largest,entries,8
8,largest,number,7
9,top,row,108
10,top,layer,67
11,top,right,38
12,top,k,32
13,top,words,25
14,top,view,24
15,top,level,22
16,top,left,20
17,top,layers,19
18,top,corner,16
19,top,predictions,13
20,top,component,13
21,top,frame,11
22,top,images,10
23,top,circle,7
24,top,blocks,7
25,intuitive,physics,15
26,successful,attack,13
27,successful,attacks,10
28,unique,contribution,1
29,international,conference,729
30,effective,depth,69
31,effective,size,57
32,effective,capacity,23
33,motivated,bias,4
34,motivated,algorithm,3
35,motivated,architecture,3
36,motivated,capabilities,2
37,motivated,ration,2
38,motivated,artillery,2
39,motivated,abstractions,1
40,strong,bias,20
41,first,row,16
42,first,layer,5
43,first,part,3
44,first,release,3
45,first,iteration,3
46,first,derivatives,3
47,first,moons,3
48,first,line,2
49,first,steps,2
50,first,task,2
51,first,column,2
52,systematic,code,8
53,systematic,deviation,7
54,systematic,artifacts,4
55,systematic,variations,2
56,systematic,differences,2
57,latest,student,1
58,latest,heuristics,1
59,latest,part,1
60,latest,gradients,1
61,ready,until,1
62,greatest,magnitude,2
63,greatest,gradient,2
64,greatest,loss,2
65,greatest,diversity,1
66,greatest,levels,1
67,greatest,probability,1
68,greatest,domain,1
69,greatest,depth,1
70,greatest,descent,1
71,incredible,pork,2
72,myriad,downstream,1
